Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Cost,Profit Margin
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,103.0,218,2245.0,1257.0,Online,988.0,55.99109131403118
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,103.0,163,1679.0,806.0,Online,873.0,48.00476474091721
Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10.0,700,7000.0,3150.0,Outlet,3850.0,45.0
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575,8625.0,3881.0,Outlet,4744.0,44.99710144927536
Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15.0,475,7125.0,3206.0,Outlet,3919.0,44.99649122807018
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,475,7125.0,2494.0,In-store,4631.0,35.00350877192982
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,20.0,450,9000.0,3150.0,Online,5850.0,35.0
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,15.0,450,6750.0,2700.0,Online,4050.0,40.0
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.0,450,9000.0,2700.0,In-store,6300.0,30.0
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,44.0,434,1910.0,993.0,Outlet,917.0,51.98952879581152
Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,425,8500.0,2975.0,In-store,5525.0,35.0
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,425,6375.0,2231.0,In-store,4144.0,34.99607843137255
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,425,8500.0,2975.0,In-store,5525.0,35.0
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,20.0,425,8500.0,3400.0,Online,5100.0,40.0
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.0,425,6375.0,2550.0,Online,3825.0,40.0
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,20.0,425,8500.0,3400.0,Online,5100.0,40.0
